gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod
Female,9.460091e-22,15.521534,93.89237,1242.2156,Month-to-month,Credit card (automatic)
Female,1.6823898e-09,39.618958,85.70497,3291.6587,One year,Bank transfer (automatic)
Male,0.0,9.145106,21.19043,131.64134,One year,Credit card (automatic)
Male,0.0,2.5841002,64.50712,167.06683,Month-to-month,Credit card (automatic)
Female,0.0,1.4257772,78.58066,23.920145,Month-to-month,Credit card (automatic)
Female,0.0,5.102496,90.62029,202.31801,Month-to-month,Credit card (automatic)
Male,0.0,51.113743,114.76951,6227.259,One year,Bank transfer (automatic)
Female,2.8331206e-36,5.4841933,85.057,219.53925,Month-to-month,Credit card (automatic)
Male,3.174093e-37,40.22857,103.66085,3877.4639,One year,Credit card (automatic)
Female,1.3943023e-29,7.411226,91.79321,324.75922,Month-to-month,Credit card (automatic)
Female,0.99998474,47.560074,103.57138,4697.9434,One year,Credit card (automatic)
Male,0.0,19.380243,93.14012,1598.4343,Month-to-month,Credit card (automatic)
Female,1.0,55.16077,105.278564,5255.4995,One year,Bank transfer (automatic)
Female,1.257314e-29,7.4521546,93.393364,486.4181,Month-to-month,Credit card (automatic)
Female,0.0,18.704807,57.296955,1071.8943,One year,Credit card (automatic)
Female,0.008185366,48.189804,105.45721,4983.1226,One year,Bank transfer (automatic)
Female,1.2734988e-37,26.588568,78.21373,1682.9015,One year,Credit card (automatic)
Female,6.779798e-24,30.343737,104.00541,2650.27,One year,Credit card (automatic)
Male,0.0,34.42666,103.46129,3688.1018,One year,Bank transfer (automatic)
Male,1.189015e-32,12.512538,89.36116,813.95746,Month-to-month,Credit card (automatic)
Male,0.0,4.1060605,37.088715,103.06917,One year,Credit card (automatic)
Male,0.0,28.9771,99.782036,2664.7466,One year,Credit card (automatic)
Male,0.0,1.5694059,51.98198,29.658028,Month-to-month,Credit card (automatic)
Male,0.0,39.336575,113.04086,5165.7163,One year,Bank transfer (automatic)
Female,0.0,19.963293,55.288162,1174.7103,One year,Bank transfer (automatic)
Female,0.99999976,27.925045,90.47027,2188.7769,Month-to-month,Credit card (automatic)
Female,3.816587e-09,7.5569468,81.92913,249.10648,Month-to-month,Credit card (automatic)
Male,0.0,14.869707,90.11456,1377.5903,Month-to-month,Credit card (automatic)
Female,3.852446e-39,32.887077,104.115746,3653.619,One year,Bank transfer (automatic)
Male,1.4092358e-16,17.167913,90.10422,1155.6011,Month-to-month,Credit card (automatic)
Female,2.0244923e-14,41.05727,107.68009,4894.958,One year,Bank transfer (automatic)
Female,2.9082414e-34,28.453821,71.68651,2025.5685,One year,Bank transfer (automatic)
Female,0.0,21.586166,88.59584,1874.421,One year,Bank transfer (automatic)
Male,0.0,1.8047833,67.76204,81.214714,Month-to-month,Credit card (automatic)
Male,0.0,43.318523,110.2871,5094.761,One year,Credit card (automatic)
Male,0.0,8.771185,33.299446,379.67737,One year,Bank transfer (automatic)
Female,0.99952316,21.947943,82.48009,1484.9615,Month-to-month,Credit card (automatic)
Male,0.0,19.46898,59.07244,1184.4022,One year,Credit card (automatic)
Male,0.0,40.605736,113.95969,5262.3433,One year,Bank transfer (automatic)
Male,0.0,5.549999,44.064457,326.3551,One year,Credit card (automatic)
Male,0.0,4.02449,77.6524,157.88127,Month-to-month,Credit card (automatic)
Male,0.0,32.46159,84.07942,2742.0464,One year,Bank transfer (automatic)
Female,6.3639063e-09,43.376293,101.5427,4260.263,One year,Credit card (automatic)
Female,2.7548593e-12,46.268444,104.163086,4705.3623,One year,Bank transfer (automatic)
Male,2.8086926e-29,20.067924,94.24187,1855.1812,Month-to-month,Credit card (automatic)
Male,0.0,39.157536,106.00204,4485.8613,One year,Bank transfer (automatic)
Female,0.0,10.956433,46.232224,425.02307,One year,Credit card (automatic)
Female,2.0724243e-20,40.074074,106.19904,4332.5522,One year,Bank transfer (automatic)
Female,0.01052702,47.369694,108.57125,4728.808,One year,Credit card (automatic)
Male,0.0,18.729462,47.540676,693.7197,One year,Credit card (automatic)
Female,0.16957073,21.984344,98.73429,1738.2622,Month-to-month,Credit card (automatic)
Female,0.0,25.874609,99.72367,2355.3916,One year,Credit card (automatic)
Male,0.0,33.06194,97.763535,3115.3274,One year,Credit card (automatic)
Female,3.428592e-14,27.30187,95.70416,2566.5452,One year,Credit card (automatic)
Female,5.658381e-25,31.309101,101.35627,3570.247,One year,Bank transfer (automatic)
Female,0.0,16.569233,59.19266,1076.8291,One year,Bank transfer (automatic)
Female,0.9999994,48.04212,103.239204,4865.3213,One year,Credit card (automatic)
Female,0.0,1.4975349,18.262909,20.480371,One year,Bank transfer (automatic)
Male,0.0,14.835581,41.27964,500.0168,One year,Credit card (automatic)
Female,0.0,1.9525785,18.511408,29.712414,One year,Bank transfer (automatic)
Male,0.0,30.059769,101.46526,3210.963,One year,Credit card (automatic)
Female,8.141212e-30,18.982307,38.0892,823.8161,One year,Bank transfer (automatic)
Female,5.418187e-13,2.0820682,86.28548,37.179485,Month-to-month,Credit card (automatic)
Female,3.2569342e-37,28.167635,95.95528,2617.1765,One year,Credit card (automatic)
Male,2.4395726e-30,22.40426,95.98656,2285.786,Month-to-month,Credit card (automatic)
Male,0.0,5.414773,19.685091,76.736374,One year,Credit card (automatic)
Male,0.0,8.334682,27.88828,307.02283,One year,Bank transfer (automatic)
Male,0.0,1.1835458,38.370464,36.408283,Month-to-month,Credit card (automatic)
Female,2.9363655e-20,25.47152,65.66562,1761.7677,One year,Bank transfer (automatic)
Male,0.0,2.5924485,69.39711,127.015915,Month-to-month,Credit card (automatic)
Male,0.0,3.0428944,18.325077,34.671158,One year,Bank transfer (automatic)
Male,0.0,4.5951824,81.36528,314.1214,Month-to-month,Credit card (automatic)
Female,3.630708e-39,2.2222424,76.37312,42.905777,Month-to-month,Credit card (automatic)
Male,0.0,1.4804122,64.989716,32.33821,Month-to-month,Credit card (automatic)
Female,4.7800188e-32,20.69159,91.16463,1677.3302,One year,Credit card (automatic)
Male,0.0,1.55294,56.49352,30.335032,Month-to-month,Credit card (automatic)
Male,2.1417072e-32,18.379375,92.274734,1674.7643,Month-to-month,Credit card (automatic)
Female,0.0,2.3928196,75.65142,57.475163,Month-to-month,Credit card (automatic)
Female,2.8750976e-13,38.453735,97.73733,3644.158,One year,Credit card (automatic)
Male,0.0,1.2815137,64.606186,24.570477,Month-to-month,Credit card (automatic)
Male,0.0,30.852251,85.73417,2640.8064,One year,Bank transfer (automatic)
Female,0.0,7.4570136,20.615438,107.378204,One year,Credit card (automatic)
Female,0.0,5.2364483,22.555595,137.7791,One year,Bank transfer (automatic)
Female,1.4605067e-06,42.172665,103.23137,4362.781,One year,Credit card (automatic)
Female,1.2348176e-28,2.7353036,81.10682,53.105755,Month-to-month,Credit card (automatic)
Male,0.0,24.168774,85.3025,1606.5521,One year,Credit card (automatic)
Male,0.0,27.770353,92.65009,2523.0146,One year,Credit card (automatic)
Male,0.0,13.88407,90.54073,1171.9154,Month-to-month,Credit card (automatic)
Male,0.0,17.979265,46.993233,1018.7541,One year,Bank transfer (automatic)
Female,2.9945723e-12,7.7125254,86.436,337.14078,Month-to-month,Credit card (automatic)
Female,0.0,21.299923,94.89383,1619.0803,One year,Credit card (automatic)
Male,0.0,9.7488575,27.980082,356.18515,One year,Bank transfer (automatic)
Male,0.0,2.4621,70.07877,126.7751,Month-to-month,Credit card (automatic)
Female,2.4662965e-15,41.472122,105.69053,4896.953,One year,Bank transfer (automatic)
Female,3.0092726e-14,7.513602,91.92632,456.04227,Month-to-month,Credit card (automatic)
Female,0.025723541,51.921246,108.5332,5315.4785,One year,Credit card (automatic)
Female,0.0,8.712811,21.530483,170.6501,One year,Bank transfer (automatic)
Male,0.0,3.6018624,74.78138,219.96312,Month-to-month,Credit card (automatic)
Male,0.0,27.057327,90.15418,2308.7104,One year,Bank transfer (automatic)
Male,0.0,1.5032527,63.379196,26.904598,Month-to-month,Credit card (automatic)
Male,0.0,32.233868,100.95678,3691.6448,One year,Bank transfer (automatic)
Male,0.0,2.0955617,69.19621,62.335007,Month-to-month,Credit card (automatic)
Male,6.227567e-14,48.74615,111.02103,5452.749,One year,Bank transfer (automatic)
Male,0.0,25.31482,77.517136,1821.4542,One year,Bank transfer (automatic)
Female,3.605205e-39,14.301058,30.494184,481.34933,One year,Credit card (automatic)
Female,2.3157017e-25,1.6550126,62.990795,28.397835,Month-to-month,Credit card (automatic)
Male,0.0,7.090543,88.377884,482.38358,Month-to-month,Credit card (automatic)
Male,0.0,9.576523,22.81013,213.0021,One year,Credit card (automatic)
Female,0.99900526,44.321373,101.13645,4478.2563,One year,Bank transfer (automatic)
Female,0.003933077,10.178378,78.46352,396.00446,Month-to-month,Credit card (automatic)
Male,0.0,5.4897513,84.26418,412.09607,Month-to-month,Credit card (automatic)
Female,2.1492303e-38,23.252499,70.33713,1778.6143,One year,Bank transfer (automatic)
Female,0.0,2.6966102,77.93065,86.50745,Month-to-month,Credit card (automatic)
Female,0.0,26.752449,90.93727,2152.7356,One year,Credit card (automatic)
Male,0.0,21.728336,85.329605,1999.3551,One year,Bank transfer (automatic)
Male,0.0,16.118233,54.96787,933.9516,One year,Bank transfer (automatic)
Male,9.937126e-34,34.642307,99.880005,3177.5244,One year,Credit card (automatic)
Male,0.0,7.326402,37.40406,238.7661,One year,Credit card (automatic)
Male,0.0,37.95469,108.874214,4098.251,One year,Credit card (automatic)
Male,0.0,37.200714,105.4506,3482.4902,One year,Credit card (automatic)
Male,0.0,49.460484,116.64814,6324.192,One year,Bank transfer (automatic)
Male,0.0,6.056649,73.70594,657.7903,One year,Credit card (automatic)
Male,0.0,28.34339,78.788605,2320.0454,One year,Bank transfer (automatic)
Male,0.0,4.609078,18.986052,77.39222,One year,Bank transfer (automatic)
Male,0.0,6.2358074,83.17945,384.57816,Month-to-month,Credit card (automatic)
Female,0.99982494,5.5766106,84.34228,180.07072,Month-to-month,Credit card (automatic)
Male,0.0,25.48264,84.53274,1883.2081,One year,Credit card (automatic)
Male,0.0,33.253345,96.86736,3191.594,One year,Bank transfer (automatic)
Male,0.0,39.176872,102.89414,3868.674,One year,Bank transfer (automatic)
Female,1.5434222e-06,51.77618,110.51575,5927.727,One year,Bank transfer (automatic)
Female,3.8848364e-18,5.6252604,85.9722,188.21814,Month-to-month,Credit card (automatic)
Male,0.0,33.661728,100.37147,2996.6165,One year,Credit card (automatic)
Female,1.3998442e-15,7.700487,101.779655,391.41275,Month-to-month,Credit card (automatic)
Male,0.0,2.70834,76.91856,69.2548,Month-to-month,Credit card (automatic)
Female,0.0008860057,42.80038,104.99874,4170.0376,One year,Credit card (automatic)
Female,1.4791525e-09,30.063831,95.88839,2834.0208,One year,Credit card (automatic)
Female,0.0,8.552616,21.17436,176.07472,One year,Bank transfer (automatic)
Male,0.0,13.146019,37.54623,602.1389,One year,Bank transfer (automatic)
Male,0.0,27.96973,77.04867,1935.1721,One year,Credit card (automatic)
Female,0.0,1.8920908,90.172356,54.0479,Month-to-month,Credit card (automatic)
Female,0.99982786,19.055632,99.90448,1353.9904,Month-to-month,Credit card (automatic)
Male,5.311164e-38,41.67459,110.0166,4948.1255,One year,Bank transfer (automatic)
Male,0.0,5.9186034,20.60602,142.52309,One year,Bank transfer (automatic)
Male,0.0,22.630854,66.291084,1637.8047,One year,Bank transfer (automatic)
Male,0.0,38.2848,98.43203,3814.4216,One year,Bank transfer (automatic)
Male,0.0,1.0826868,44.40088,21.252148,Month-to-month,Credit card (automatic)
Male,0.0,18.907598,66.29964,1091.602,One year,Credit card (automatic)
Female,0.0,1.6471827,80.41893,37.59329,Month-to-month,Credit card (automatic)
Male,0.0,4.136325,77.129845,151.43204,Month-to-month,Credit card (automatic)
Female,2.975898e-37,13.732413,32.503273,453.21426,One year,Credit card (automatic)
Male,0.0,2.3270981,68.52623,74.02533,Month-to-month,Credit card (automatic)
Female,0.90320164,51.256,105.01881,5154.7866,One year,Bank transfer (automatic)
Male,0.0,3.9797728,73.15067,330.32825,Month-to-month,Credit card (automatic)
Female,7.871614e-11,41.260338,107.20796,4095.7659,One year,Credit card (automatic)
Female,0.0,3.3859816,84.28739,127.51689,Month-to-month,Credit card (automatic)
Female,0.99999,37.912224,101.3529,3682.214,One year,Credit card (automatic)
Female,2.4033885e-17,23.610989,95.197395,2026.4368,Month-to-month,Credit card (automatic)
Female,8.666277e-37,1.7378032,81.243576,28.45297,Month-to-month,Credit card (automatic)
Female,0.98828274,46.896233,106.64449,4551.5176,One year,Credit card (automatic)
Female,4.228295e-12,30.083326,98.30751,2796.9702,One year,Credit card (automatic)
Male,0.0,16.998692,76.12814,1534.7695,One year,Credit card (automatic)
Female,5.134225e-38,17.816626,76.63757,1094.8738,One year,Credit card (automatic)
Female,7.242019e-12,37.402996,89.65427,3452.3335,One year,Bank transfer (automatic)
Male,2.6885082e-31,4.9429865,74.58418,173.62624,Month-to-month,Credit card (automatic)
Female,0.0,12.382338,29.338814,382.3562,One year,Credit card (automatic)
Male,0.0,12.392537,93.42478,1225.291,Month-to-month,Credit card (automatic)
Male,0.0,1.2155551,59.148705,23.862736,Month-to-month,Credit card (automatic)
Female,6.8811827e-31,4.5371385,86.66481,139.23387,Month-to-month,Credit card (automatic)
Female,5.3873166e-38,19.106909,48.470047,1016.7572,One year,Bank transfer (automatic)
Male,4.258238e-13,50.03102,114.03102,6040.8643,One year,Bank transfer (automatic)
Female,1.2318324e-13,20.8837,99.190285,1869.6432,One year,Credit card (automatic)
Male,0.0,11.5571785,24.918753,356.28116,One year,Bank transfer (automatic)
Male,1.5640981e-34,4.1544247,83.34011,132.58644,Month-to-month,Credit card (automatic)
Male,0.0,29.441784,76.118225,2436.5483,One year,Bank transfer (automatic)
Female,5.6595756e-15,44.50283,105.789406,4334.214,One year,Credit card (automatic)
Female,8.887116e-19,34.49806,82.91959,2796.4158,One year,Bank transfer (automatic)
Female,8.959839e-16,13.9144945,95.16116,1036.0007,Month-to-month,Credit card (automatic)
Female,8.7671264e-15,11.180416,91.99862,791.458,Month-to-month,Credit card (automatic)
Female,1.1238244e-11,37.21621,96.970795,3463.5083,One year,Credit card (automatic)
Male,0.0,14.2411175,80.86341,1224.1577,One year,Credit card (automatic)
Female,3.888609e-22,15.544388,93.13824,1252.634,Month-to-month,Credit card (automatic)
Male,0.0,14.230222,45.371223,823.82166,One year,Bank transfer (automatic)
Female,0.0,14.09054,23.406721,289.31668,One year,Bank transfer (automatic)
Female,8.7151866e-20,33.066856,105.26812,3214.6284,One year,Credit card (automatic)
Female,1.517834e-33,18.591671,92.98433,1411.0414,One year,Credit card (automatic)
Male,0.0,6.4062037,88.33451,433.3598,Month-to-month,Credit card (automatic)
Female,1.0,52.216183,110.64613,5170.33,One year,Credit card (automatic)
Female,0.0,8.590015,31.017384,221.57057,One year,Credit card (automatic)
Female,0.9999758,49.224083,103.977036,5118.3247,One year,Bank transfer (automatic)
Male,0.0,18.93094,84.70083,1820.8584,One year,Credit card (automatic)
Male,0.0,2.6599545,73.10316,62.30773,Month-to-month,Credit card (automatic)
Female,0.0,4.6951685,84.645096,149.97075,Month-to-month,Credit card (automatic)
Female,0.99977034,7.3981795,85.33787,284.7816,Month-to-month,Credit card (automatic)
Male,0.0,37.248337,114.22334,5132.8247,One year,Bank transfer (automatic)
Female,7.574269e-16,34.422985,90.64706,3162.6492,One year,Bank transfer (automatic)
Female,1.0743024e-28,2.1944916,76.458015,39.663734,Month-to-month,Credit card (automatic)
Female,6.189871e-11,34.892563,102.60509,3484.736,One year,Credit card (automatic)
Female,0.0,4.121779,82.12048,127.20941,Month-to-month,Credit card (automatic)
Female,1.0,34.29064,94.73583,2634.8206,Month-to-month,Credit card (automatic)
Male,0.0,14.500549,94.95462,1857.3322,One year,Credit card (automatic)
Male,6.920704e-14,18.078917,85.73316,1163.828,Month-to-month,Credit card (automatic)
Male,0.0,2.0820327,74.97041,66.01128,Month-to-month,Credit card (automatic)
Female,0.0,11.530702,80.96709,654.5252,One year,Credit card (automatic)
Male,1.8070118e-23,8.164961,80.72995,361.25165,Month-to-month,Credit card (automatic)
Female,4.1885632e-30,25.551006,97.78422,2076.7742,One year,Credit card (automatic)
Male,3.899105e-25,36.32378,102.503624,3450.343,One year,Credit card (automatic)
Female,9.651715e-30,9.3910675,86.55889,559.0458,Month-to-month,Credit card (automatic)
Male,0.0,1.3230547,60.537983,25.930521,Month-to-month,Credit card (automatic)
Female,1.0,55.26537,110.19998,5097.6475,One year,Credit card (automatic)
Female,0.00017865894,45.156593,104.09442,4813.121,One year,Bank transfer (automatic)
Female,4.7243587e-20,37.42758,102.21448,3471.9807,One year,Credit card (automatic)
Female,0.9400986,49.028194,105.25549,4928.482,One year,Credit card (automatic)
Male,0.0,28.108212,75.39716,1970.1598,One year,Credit card (automatic)
Female,0.0,10.796212,25.951492,328.59717,One year,Bank transfer (automatic)
Female,3.3474148e-20,6.241434,77.00269,191.88716,Month-to-month,Credit card (automatic)
Male,0.0,2.1915853,57.149937,54.839706,Month-to-month,Credit card (automatic)
Male,0.0,1.9714476,80.91173,72.42881,Month-to-month,Credit card (automatic)
Female,1.3144364e-07,9.623737,88.5239,448.64703,Month-to-month,Credit card (automatic)
Male,1.364902e-19,42.164722,102.606285,4379.195,One year,Bank transfer (automatic)
Male,0.0,13.562519,39.432735,440.78015,One year,Credit card (automatic)
Male,0.0,19.611946,46.886005,1082.15,One year,Bank transfer (automatic)
Male,0.0,11.807163,79.54326,1414.7495,One year,Credit card (automatic)
Female,0.0,1.7568858,78.8922,37.23913,Month-to-month,Credit card (automatic)
Male,0.0,23.545452,66.21092,1426.9731,One year,Credit card (automatic)
Male,0.0,17.256487,95.764595,1138.9908,One year,Credit card (automatic)
Male,0.0,38.831,110.90519,4808.5,One year,Bank transfer (automatic)
Female,7.469337e-24,7.4169154,79.03611,273.8761,Month-to-month,Credit card (automatic)
Female,0.0,16.550068,34.590813,620.208,One year,Bank transfer (automatic)
Female,3.2568861e-21,7.3353987,88.21832,269.63983,Month-to-month,Credit card (automatic)
Female,0.0,3.2908525,40.827694,71.34968,One year,Credit card (automatic)
Male,0.0,15.289379,35.07268,674.7559,One year,Bank transfer (automatic)
Male,0.0,30.1375,92.34691,2670.3691,One year,Bank transfer (automatic)
Female,0.0,2.082706,78.792244,58.708065,Month-to-month,Credit card (automatic)
Male,0.0,3.5911908,18.370304,39.15264,One year,Bank transfer (automatic)
Female,0.0,14.971028,44.857124,786.8869,One year,Bank transfer (automatic)
Female,1.0,57.366627,107.453575,5567.237,One year,Credit card (automatic)
Male,0.0,14.743744,73.281944,1182.8938,One year,Credit card (automatic)
Female,0.9974075,17.176376,80.80359,945.7049,Month-to-month,Credit card (automatic)
Female,7.7837625e-23,2.1978703,81.285576,37.758816,Month-to-month,Credit card (automatic)
Female,3.1802445e-14,15.713738,98.50659,1217.8022,Month-to-month,Credit card (automatic)
Female,1.016221e-14,10.616634,85.000145,464.49164,Month-to-month,Credit card (automatic)
Male,0.0,4.02817,18.74375,43.209824,One year,Credit card (automatic)
Male,0.0,11.444002,48.335056,638.8359,One year,Bank transfer (automatic)
Female,1.57126e-22,14.246876,91.01337,913.5761,Month-to-month,Credit card (automatic)
Female,3.2978754e-24,10.348324,89.374695,567.05835,Month-to-month,Credit card (automatic)
Female,1.5161285e-16,13.201515,95.40788,942.09485,Month-to-month,Credit card (automatic)
Female,1.2965855e-07,42.66888,98.30224,4322.866,One year,Bank transfer (automatic)
Female,3.7352495e-36,21.408861,90.72096,1782.9946,One year,Credit card (automatic)
Female,0.0,15.474399,49.71508,623.8889,One year,Credit card (automatic)
Female,0.0,15.129687,102.113396,1278.3861,One year,Credit card (automatic)
Male,0.0,4.2258654,18.71461,60.10205,One year,Bank transfer (automatic)
Female,4.448406e-23,13.246217,90.405914,939.51,Month-to-month,Credit card (automatic)
Female,4.5677303e-22,28.151646,90.69334,2495.4695,One year,Credit card (automatic)
Male,0.0,2.7214262,71.18786,164.90927,Month-to-month,Credit card (automatic)
Male,0.0,3.801084,21.675741,71.74054,One year,Credit card (automatic)
Female,1.0330259e-25,26.990543,89.94011,2341.7715,One year,Credit card (automatic)
Female,6.4906824e-25,38.06655,106.38065,3701.4675,One year,Credit card (automatic)
Male,0.0,7.7211523,74.0294,827.0801,One year,Credit card (automatic)
Female,6.555031e-32,3.3680816,85.990456,86.08877,Month-to-month,Credit card (automatic)
Female,2.6367887e-24,25.579021,98.11649,2179.9026,One year,Credit card (automatic)
Female,0.0,9.834312,74.86734,563.8602,One year,Credit card (automatic)
Female,1.6116464e-05,50.17,108.64155,5152.0483,One year,Credit card (automatic)
Male,0.0,5.2752056,80.38292,310.87634,Month-to-month,Credit card (automatic)
Male,1.707045e-29,48.166954,113.944756,5973.077,One year,Bank transfer (automatic)
Male,2.819072e-37,34.454998,98.55349,3556.9639,One year,Bank transfer (automatic)
Female,1.0911064e-23,1.6749697,62.177418,27.063211,Month-to-month,Credit card (automatic)
Female,3.966916e-26,6.9238253,88.16765,342.60614,Month-to-month,Credit card (automatic)
Male,0.0,2.1507611,18.255747,21.403656,One year,Bank transfer (automatic)
Male,3.056956e-31,46.534927,112.41591,5099.473,One year,Credit card (automatic)
Female,1.7673978e-36,8.429249,92.000656,414.95828,Month-to-month,Credit card (automatic)
Female,0.0,10.585405,22.719816,209.46623,One year,Bank transfer (automatic)
Male,0.0,1.2194482,54.401627,25.379534,Month-to-month,Credit card (automatic)
Male,0.0,27.928217,78.90506,2100.3125,One year,Bank transfer (automatic)
Male,3.3845525e-25,49.777946,114.514694,6075.6895,One year,Bank transfer (automatic)
Female,2.1978714e-18,16.362717,100.105705,1429.5337,Month-to-month,Credit card (automatic)
Female,0.0,1.0318831,44.195103,18.970285,Month-to-month,Credit card (automatic)
Male,0.0,6.553302,81.67361,474.81522,Month-to-month,Credit card (automatic)
Male,0.0,9.980273,21.376928,131.62881,One year,Credit card (automatic)
Female,0.7275726,55.435944,113.77152,6362.692,One year,Bank transfer (automatic)
Male,0.0,18.230639,74.70797,1113.2927,One year,Credit card (automatic)
Male,0.0,1.7158766,63.33015,39.859314,Month-to-month,Credit card (automatic)
Male,0.0,34.475616,105.34518,3895.2156,One year,Bank transfer (automatic)
Male,0.0,7.5663013,30.544418,304.3415,One year,Bank transfer (automatic)
Male,0.0,38.236713,112.86366,4490.367,One year,Bank transfer (automatic)
Female,1.3706126e-38,18.375536,51.176754,1122.5734,One year,Bank transfer (automatic)
Female,9.379297e-33,37.094383,108.856575,4433.9556,One year,Bank transfer (automatic)
Female,0.0,1.4681194,79.04792,27.402908,Month-to-month,Credit card (automatic)
